1	3	0	0	1
2	4	0	0	1
3	5	0	0	1
4	6	0	0	1
5	3	1	0	0
6	4	1	0	0
7	5	1	0	0
8	6	1	0	0
9	3	0	1	0
10	4	0	1	0
11	5	0	1	0
12	6	0	1	0
13	3	0.333333333	0.333333333	0.333333333
14	4	0.333333333	0.333333333	0.333333333
15	5	0.333333333	0.333333333	0.333333333
16	6	0.333333333	0.333333333	0.333333333
17	3	0.5	0.25	0.25
18	4	0.5	0.25	0.25
19	5	0.5	0.25	0.25
20	6	0.5	0.25	0.25
21	3	0.25	0.5	0.25
22	4	0.25	0.5	0.25
23	5	0.25	0.5	0.25
24	6	0.25	0.5	0.25
25	3	0.25	0.25	0.5
26	4	0.25	0.25	0.5
27	5	0.25	0.25	0.5
28	6	0.25	0.25	0.5
